
# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
#   DataSource = ERA5 (final data) or ERA5T (initial release data) from ECMWF
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20240813
#   ASLi_software_version = 0.0.1
#   data_version = 20240813
# 
# 
time,lon,lat,ActCenPres,SectorPres,RelCenPres,DataSource
1965-02-01,270.0,-62.0,985.48315,997.5962,-12.113037,ERA5
1965-03-01,261.75,-68.25,978.34314,987.76886,-9.42572,ERA5
1965-04-01,194.25,-71.5,977.6819,988.9439,-11.262024,ERA5
1965-05-01,270.0,-66.0,984.21686,990.96545,-6.748596,ERA5
1965-06-01,277.75,-67.5,981.7606,989.984,-8.223389,ERA5
1965-07-01,223.0,-68.0,976.3119,985.2817,-8.969788,ERA5
1965-08-01,205.0,-75.25,976.89874,988.2686,-11.369873,ERA5
1965-09-01,262.75,-68.0,970.0062,979.8859,-9.8797,ERA5
1965-10-01,186.5,-68.5,975.78314,985.02856,-9.245422,ERA5
1965-11-01,274.5,-70.75,975.27374,984.468,-9.194275,ERA5
1965-12-01,177.0,-63.25,985.2394,995.46136,-10.221985,ERA5
1966-01-01,238.5,-71.0,988.4369,990.85236,-2.4154663,ERA5
1966-02-01,213.75,-68.5,980.5637,990.3622,-9.798462,ERA5
1966-03-01,196.5,-69.75,982.2031,988.4895,-6.286377,ERA5
1966-04-01,197.75,-74.0,980.5769,990.0835,-9.506592,ERA5
1966-05-01,257.0,-65.75,973.8306,986.75275,-12.922119,ERA5
1966-06-01,197.75,-74.0,971.16125,987.26917,-16.10791,ERA5
1966-07-01,215.5,-73.25,987.42065,994.1127,-6.6920166,ERA5
1966-08-01,216.5,-75.0,970.23627,982.8531,-12.616821,ERA5
1966-09-01,212.0,-74.5,976.0694,985.5202,-9.450806,ERA5
1966-10-01,201.5,-73.5,963.4481,976.33453,-12.886414,ERA5
1966-11-01,224.25,-71.5,976.6863,984.082,-7.395691,ERA5
1966-12-01,211.5,-68.0,985.07874,989.7728,-4.694092,ERA5
1967-01-01,227.5,-64.75,989.8181,994.7484,-4.930298,ERA5
1967-02-01,200.0,-67.75,982.3856,991.05597,-8.670349,ERA5
1967-03-01,211.5,-72.75,984.0425,989.17865,-5.1361694,ERA5
1967-04-01,213.75,-67.25,974.27936,982.92175,-8.642395,ERA5
1967-05-01,189.5,-65.0,982.7006,988.6775,-5.9768677,ERA5
1967-06-01,208.25,-65.5,984.08875,990.0639,-5.9751587,ERA5
1967-07-01,231.75,-68.5,967.8694,981.3935,-13.524109,ERA5
1967-08-01,244.75,-67.5,972.265,981.7228,-9.457764,ERA5
1967-09-01,219.25,-74.0,977.115,986.6409,-9.52594,ERA5
1967-10-01,217.75,-74.0,974.71313,984.33905,-9.625916,ERA5
1967-11-01,283.75,-65.0,979.66565,987.3432,-7.6775513,ERA5
1967-12-01,191.25,-71.25,988.27,991.73706,-3.467041,ERA5
1968-01-01,268.75,-67.25,984.96686,991.1464,-6.1795654,ERA5
1968-02-01,188.75,-73.25,986.6131,993.46063,-6.847534,ERA5
1968-03-01,230.75,-65.0,981.41315,986.3695,-4.95636,ERA5
1968-04-01,253.5,-70.5,974.4431,985.29175,-10.848633,ERA5
1968-05-01,252.25,-67.25,976.84814,989.584,-12.73584,ERA5
1968-06-01,269.75,-70.5,972.5012,983.8082,-11.307007,ERA5
1968-07-01,261.5,-67.5,971.4931,979.65076,-8.157654,ERA5
1968-08-01,269.75,-69.25,981.2488,990.75323,-9.504456,ERA5
1968-09-01,276.5,-71.75,980.36127,988.28253,-7.9212646,ERA5
1968-10-01,265.5,-69.5,979.615,984.7433,-5.128296,ERA5
1968-11-01,268.0,-66.5,979.8231,988.8301,-9.006958,ERA5
1968-12-01,210.5,-70.5,987.66125,993.2336,-5.5723267,ERA5
1969-01-01,230.25,-65.5,988.9394,994.20636,-5.266968,ERA5
1969-02-01,200.0,-68.75,984.02435,988.0701,-4.0457764,ERA5
1969-03-01,195.5,-69.25,973.40875,986.16766,-12.758911,ERA5
1969-04-01,267.75,-67.5,979.8275,989.15106,-9.323547,ERA5
1969-05-01,205.5,-73.25,984.83685,994.3665,-9.529663,ERA5
1969-06-01,189.0,-63.0,980.4394,992.68085,-12.241455,ERA5
1969-07-01,204.5,-76.0,976.41815,988.13837,-11.720215,ERA5
1969-08-01,222.0,-73.25,967.85,979.6082,-11.75824,ERA5
1969-09-01,276.5,-66.5,977.3244,985.72125,-8.396851,ERA5
1969-10-01,192.0,-70.5,977.3594,986.6166,-9.257202,ERA5
1969-11-01,236.25,-67.25,968.47437,978.087,-9.61261,ERA5
1969-12-01,264.75,-66.5,980.27563,988.8417,-8.56604,ERA5
1970-01-01,199.5,-69.25,978.5087,988.27484,-9.766113,ERA5
1970-02-01,227.0,-68.25,983.1281,986.6273,-3.4992065,ERA5
1970-03-01,246.75,-66.0,979.5156,984.97705,-5.461426,ERA5
1970-04-01,189.75,-67.25,981.4263,987.238,-5.8117065,ERA5
1970-05-01,204.5,-72.75,976.1275,983.5391,-7.411621,ERA5
1970-06-01,230.0,-65.5,968.52625,979.63806,-11.111816,ERA5
1970-07-01,261.25,-68.5,974.995,986.0931,-11.0980835,ERA5
1970-08-01,240.5,-73.0,968.8275,982.67615,-13.848633,ERA5
1970-09-01,250.5,-68.0,960.6188,974.9005,-14.281738,ERA5
1970-10-01,255.0,-69.0,967.66565,978.40094,-10.735291,ERA5
1970-11-01,229.0,-68.5,968.48315,978.88873,-10.405579,ERA5
1970-12-01,199.0,-67.5,985.6406,991.6811,-6.0404663,ERA5
1971-01-01,220.75,-67.0,983.28687,990.20905,-6.92218,ERA5
1971-02-01,224.75,-66.0,979.2325,985.8304,-6.5979004,ERA5
1971-03-01,203.5,-73.25,973.5619,982.7256,-9.163696,ERA5
1971-04-01,246.75,-69.0,978.28125,984.0668,-5.7855225,ERA5
1971-05-01,232.75,-67.25,982.91815,991.94556,-9.027405,ERA5
1971-06-01,220.25,-67.5,972.22375,982.32837,-10.104614,ERA5
1971-07-01,232.5,-73.5,981.815,991.7588,-9.943787,ERA5
1971-08-01,243.0,-69.5,970.90125,984.527,-13.625732,ERA5
1971-09-01,208.75,-72.5,973.4219,979.50134,-6.079468,ERA5
1971-10-01,232.0,-67.0,974.7275,982.6133,-7.885803,ERA5
1971-11-01,263.75,-67.25,973.01935,983.63043,-10.611084,ERA5
1971-12-01,224.5,-69.75,989.7056,994.0179,-4.312256,ERA5
1972-01-01,275.0,-62.75,990.5613,998.4039,-7.8425903,ERA5
1972-02-01,198.0,-72.75,983.23,991.4811,-8.251099,ERA5
1972-03-01,230.75,-65.75,976.6269,984.34906,-7.722168,ERA5
1972-04-01,266.25,-65.0,978.4256,986.93445,-8.50885,ERA5
1972-05-01,202.5,-71.5,981.5687,990.11017,-8.541443,ERA5
1972-06-01,199.75,-65.75,986.03186,992.9683,-6.9364624,ERA5
1972-07-01,213.25,-73.0,984.6744,990.0694,-5.3950195,ERA5
